id,"person_id","komitee_id","stortingsperiode_id"
740,"AAST","FAMKULT","2009-2013"
702,"AC","JUSTIS","2009-2013"
622,"ADA","JUSTIS","2009-2013"
648,"AESO","TRANSKOM","2009-2013"
722,"AGES","KOMMFORV","2009-2013"
687,"AKSH","KOMMFORV","2009-2013"
606,"ALEH","NÆRING","2009-2013"
673,"ALJ","JUSTIS","2009-2013"
659,"ALYS","HELSEOMS","2009-2013"
755,"ANA","KONTROLL","2009-2013"
734,"ANMB","TRANSKOM","2009-2013"
619,"AREH","HELSEOMS","2009-2013"
716,"ARK","FINANS","2009-2013"
751,"ARLH","NÆRING","2009-2013"
601,"ASC","JUSTIS","2009-2013"
640,"ATR","ARBSOS","2009-2013"
685,"ATW","KIRKE","2009-2013"
630,"AWE","JUSTIS","2009-2013"
726,"BÅH","TRANSKOM","2009-2013"
732,"BEHA","ENERGI","2009-2013"
708,"BENH","HELSEOMS","2009-2013"
724,"BLO","ENERGI","2009-2013"
620,"BT","FINANS","2009-2013"
717,"BTH","KIRKE","2009-2013"
695,"CT","FINANS","2009-2013"
604,"DE","KIRKE","2009-2013"
711,"DH","UFK","2009-2013"
650,"DOT","FINANS","2009-2013"
735,"EAS","KIRKE","2009-2013"
662,"EBO","NÆRING","2009-2013"
676,"EIRS","KOMMFORV","2009-2013"
710,"EKS","ENERGI","2009-2013"
664,"ELN","NÆRING","2009-2013"
649,"ES","HELSEOMS","2009-2013"
721,"ESAN","ENERGI","2009-2013"
749,"EVH","UFK","2009-2013"
638,"FBJ","NÆRING","2009-2013"
597,"FR","TRANSKOM","2009-2013"
644,"GAG","FINANS","2009-2013"
679,"GEHN","FINANS","2009-2013"
731,"GJB","KOMMFORV","2009-2013"
730,"GJB","KONTROLL","2009-2013"
651,"GJH","KOMMFORV","2009-2013"
739,"GJK","FINANS","2009-2013"
745,"GKG","FAMKULT","2009-2013"
615,"GOK","TRANSKOM","2009-2013"
613,"GUE","FINANS","2009-2013"
727,"GUO","FAMKULT","2009-2013"
614,"HAFA","JUSTIS","2009-2013"
696,"HAKH","KOMMFORV","2009-2013"
753,"HEIG","KOMMFORV","2009-2013"
692,"HEIS","KIRKE","2009-2013"
657,"HEW","KIRKE","2009-2013"
719,"HHL","KONTROLL","2009-2013"
718,"HHL","TRANSKOM","2009-2013"
647,"HML","KOMMFORV","2009-2013"
705,"HOSY","FINANS","2009-2013"
634,"HPED","UFK","2009-2013"
605,"HSK","ENERGI","2009-2013"
663,"HTN","NÆRING","2009-2013"
598,"IAG","TRANSKOM","2009-2013"
621,"IBTH","FAMKULT","2009-2013"
720,"IHE","NÆRING","2009-2013"
763,"IJ","ENERGI","2009-2013"
693,"IME","UFK","2009-2013"
637,"IOL","KOMMFORV","2009-2013"
738,"IRLN","NÆRING","2009-2013"
764,"ISC","TRANSKOM","2009-2013"
674,"IVK","UFK","2009-2013"
675,"JAE","UFK","2009-2013"
747,"JASP","HELSEOMS","2009-2013"
691,"JBO","JUSTIS","2009-2013"
635,"JF","TRANSKOM","2009-2013"
660,"JFC","KONTROLL","2009-2013"
628,"JHR","FINANS","2009-2013"
668,"JKL","JUSTIS","2009-2013"
765,"JONG","HELSEOMS","2009-2013"
677,"JSN","TRANSKOM","2009-2013"
609,"JTS","FINANS","2009-2013"
646,"KAAN","ARBSOS","2009-2013"
602,"KARH","ARBSOS","2009-2013"
672,"KES","FINANS","2009-2013"
706,"KETS","FINANS","2009-2013"
600,"KJR","ENERGI","2009-2013"
658,"KJT","HELSEOMS","2009-2013"
611,"KKK","HELSEOMS","2009-2013"
623,"KNAH","TRANSKOM","2009-2013"
639,"KNUS","FINANS","2009-2013"
636,"KSIM","FAMKULT","2009-2013"
655,"KSW","UFK","2009-2013"
703,"KY","KIRKE","2009-2013"
760,"LAE","ENERGI","2009-2013"
631,"LAG","UFK","2009-2013"
742,"LAPB","UFK","2009-2013"
748,"LCH","FAMKULT","2009-2013"
654,"LD","ARBSOS","2009-2013"
769,"LHH","HELSEOMS","2009-2013"
627,"LIC","KOMMFORV","2009-2013"
678,"LILH","NÆRING","2009-2013"
744,"LMY","TRANSKOM","2009-2013"
661,"LRE","ARBSOS","2009-2013"
610,"MAAA","KIRKE","2009-2013"
653,"MAGR","TRANSKOM","2009-2013"
624,"MAKO","KONTROLL","2009-2013"
694,"MAM","FINANS","2009-2013"
670,"METH","KIRKE","2009-2013"
699,"MIT","KOMMFORV","2009-2013"
715,"MMK","FINANS","2009-2013"
688,"MN","KONTROLL","2009-2013"
683,"MOJ","KOMMFORV","2009-2013"
608,"MORH","UFK","2009-2013"
704,"NA","ENERGI","2009-2013"
666,"OG","ENERGI","2009-2013"
686,"OLET","FAMKULT","2009-2013"
643,"OLOG","FAMKULT","2009-2013"
713,"OVA","KONTROLL","2009-2013"
733,"OYK","FAMKULT","2009-2013"
641,"PB","NÆRING","2009-2013"
603,"PEG","UFK","2009-2013"
701,"PEMY","UFK","2009-2013"
746,"PES","JUSTIS","2009-2013"
689,"PKF","KONTROLL","2009-2013"
758,"PO","HELSEOMS","2009-2013"
633,"POL","ARBSOS","2009-2013"
632,"POL","KONTROLL","2009-2013"
736,"PTA","ENERGI","2009-2013"
618,"RAA","FAMKULT","2009-2013"
669,"RAE","NÆRING","2009-2013"
741,"RE","ARBSOS","2009-2013"
756,"SAF","NÆRING","2009-2013"
665,"SAG","KIRKE","2009-2013"
599,"SHAR","KIRKE","2009-2013"
709,"SHK","FAMKULT","2009-2013"
690,"SIVJ","UFK","2009-2013"
712,"SME","ENERGI","2009-2013"
607,"SMY","UFK","2009-2013"
752,"SNV","UFK","2009-2013"
729,"SOH","JUSTIS","2009-2013"
757,"SOM","HELSEOMS","2009-2013"
612,"SONS","HELSEOMS","2009-2013"
761,"SRH","UFK","2009-2013"
759,"STEG","ARBSOS","2009-2013"
684,"STRH","KIRKE","2009-2013"
743,"SUB","TRANSKOM","2009-2013"
616,"SYG","ARBSOS","2009-2013"
750,"TALI","KIRKE","2009-2013"
671,"TAS","ENERGI","2009-2013"
723,"TBRE","KIRKE","2009-2013"
766,"TEF","ARBSOS","2009-2013"
725,"TELA","NÆRING","2009-2013"
642,"THB","HELSEOMS","2009-2013"
737,"TKK","HELSEOMS","2009-2013"
656,"TLB","ARBSOS","2009-2013"
629,"TMI","FINANS","2009-2013"
645,"TMS","TRANSKOM","2009-2013"
714,"TO","FINANS","2009-2013"
682,"TOHA","JUSTIS","2009-2013"
707,"TON","UFK","2009-2013"
680,"TOT","NÆRING","2009-2013"
667,"TOVT","JUSTIS","2009-2013"
681,"TR","ENERGI","2009-2013"
728,"TRI","ARBSOS","2009-2013"
626,"TROH","KOMMFORV","2009-2013"
700,"TRUW","KIRKE","2009-2013"
698,"TSG","KIRKE","2009-2013"
697,"TSG","KONTROLL","2009-2013"
625,"UEK","KONTROLL","2009-2013"
762,"UIL","JUSTIS","2009-2013"
768,"VKG","ARBSOS","2009-2013"
767,"WO","HELSEOMS","2009-2013"
754,"ØH","FAMKULT","2009-2013"
652,"ØYVH","TRANSKOM","2009-2013"
