id,"sesjoner_id","partier_id"
209,"1986-87","A"
214,"1986-87","FrP"
210,"1986-87","H"
211,"1986-87","KrF"
212,"1986-87","Sp"
213,"1986-87","SV"
215,"1987-88","A"
220,"1987-88","FrP"
216,"1987-88","H"
217,"1987-88","KrF"
218,"1987-88","Sp"
219,"1987-88","SV"
221,"1988-89","A"
226,"1988-89","FrP"
222,"1988-89","H"
223,"1988-89","KrF"
224,"1988-89","Sp"
225,"1988-89","SV"
227,"1989-90","A"
233,"1989-90","FFF"
229,"1989-90","FrP"
228,"1989-90","H"
231,"1989-90","KrF"
232,"1989-90","Sp"
230,"1989-90","SV"
234,"1990-91","A"
240,"1990-91","FFF"
236,"1990-91","FrP"
235,"1990-91","H"
238,"1990-91","KrF"
239,"1990-91","Sp"
237,"1990-91","SV"
241,"1991-92","A"
247,"1991-92","FFF"
243,"1991-92","FrP"
242,"1991-92","H"
245,"1991-92","KrF"
246,"1991-92","Sp"
244,"1991-92","SV"
248,"1992-93","A"
254,"1992-93","FFF"
250,"1992-93","FrP"
249,"1992-93","H"
252,"1992-93","KrF"
253,"1992-93","Sp"
251,"1992-93","SV"
255,"1992-93","Uav"
256,"1993-94","A"
261,"1993-94","FrP"
258,"1993-94","H"
259,"1993-94","KrF"
263,"1993-94","RV"
257,"1993-94","Sp"
260,"1993-94","SV"
262,"1993-94","Uav"
264,"1993-94","V"
265,"1994-95","A"
270,"1994-95","FrP"
267,"1994-95","H"
268,"1994-95","KrF"
272,"1994-95","RV"
266,"1994-95","Sp"
269,"1994-95","SV"
271,"1994-95","Uav"
273,"1994-95","V"
274,"1995-96","A"
279,"1995-96","FrP"
276,"1995-96","H"
277,"1995-96","KrF"
281,"1995-96","RV"
275,"1995-96","Sp"
278,"1995-96","SV"
280,"1995-96","Uav"
282,"1995-96","V"
283,"1996-97","A"
288,"1996-97","FrP"
285,"1996-97","H"
286,"1996-97","KrF"
290,"1996-97","RV"
284,"1996-97","Sp"
287,"1996-97","SV"
289,"1996-97","Uav"
291,"1996-97","V"
292,"1997-98","A"
293,"1997-98","FrP"
295,"1997-98","H"
294,"1997-98","KrF"
296,"1997-98","Sp"
297,"1997-98","SV"
299,"1997-98","TF"
298,"1997-98","V"
300,"1998-99","A"
301,"1998-99","FrP"
303,"1998-99","H"
302,"1998-99","KrF"
304,"1998-99","Sp"
305,"1998-99","SV"
307,"1998-99","TF"
306,"1998-99","V"
308,"1999-2000","A"
309,"1999-2000","FrP"
311,"1999-2000","H"
310,"1999-2000","KrF"
312,"1999-2000","Sp"
313,"1999-2000","SV"
315,"1999-2000","TF"
314,"1999-2000","V"
316,"2000-2001","A"
319,"2000-2001","FrP"
318,"2000-2001","H"
317,"2000-2001","KrF"
320,"2000-2001","Sp"
321,"2000-2001","SV"
324,"2000-2001","TF"
323,"2000-2001","Uav"
322,"2000-2001","V"
325,"2001-2002","A"
327,"2001-2002","FrP"
326,"2001-2002","H"
332,"2001-2002","Kp"
329,"2001-2002","KrF"
330,"2001-2002","Sp"
328,"2001-2002","SV"
333,"2001-2002","Uav"
331,"2001-2002","V"
334,"2002-2003","A"
336,"2002-2003","FrP"
335,"2002-2003","H"
341,"2002-2003","Kp"
338,"2002-2003","KrF"
339,"2002-2003","Sp"
337,"2002-2003","SV"
342,"2002-2003","Uav"
340,"2002-2003","V"
343,"2003-2004","A"
345,"2003-2004","FrP"
344,"2003-2004","H"
350,"2003-2004","Kp"
347,"2003-2004","KrF"
348,"2003-2004","Sp"
346,"2003-2004","SV"
351,"2003-2004","Uav"
349,"2003-2004","V"
352,"2004-2005","A"
354,"2004-2005","FrP"
353,"2004-2005","H"
360,"2004-2005","Kp"
356,"2004-2005","KrF"
357,"2004-2005","Sp"
355,"2004-2005","SV"
358,"2004-2005","Uav"
359,"2004-2005","V"
361,"2005-2006","A"
362,"2005-2006","FrP"
363,"2005-2006","H"
365,"2005-2006","KrF"
366,"2005-2006","Sp"
364,"2005-2006","SV"
367,"2005-2006","V"
368,"2006-2007","A"
369,"2006-2007","FrP"
370,"2006-2007","H"
372,"2006-2007","KrF"
373,"2006-2007","Sp"
371,"2006-2007","SV"
374,"2006-2007","V"
375,"2007-2008","A"
376,"2007-2008","FrP"
377,"2007-2008","H"
379,"2007-2008","KrF"
380,"2007-2008","Sp"
378,"2007-2008","SV"
381,"2007-2008","V"
382,"2008-2009","A"
383,"2008-2009","FrP"
384,"2008-2009","H"
386,"2008-2009","KrF"
387,"2008-2009","Sp"
385,"2008-2009","SV"
388,"2008-2009","V"
389,"2009-2010","A"
390,"2009-2010","FrP"
391,"2009-2010","H"
394,"2009-2010","KrF"
392,"2009-2010","Sp"
393,"2009-2010","SV"
395,"2009-2010","V"
396,"2010-2011","A"
397,"2010-2011","FrP"
398,"2010-2011","H"
401,"2010-2011","KrF"
399,"2010-2011","Sp"
400,"2010-2011","SV"
402,"2010-2011","V"
403,"2011-2012","A"
404,"2011-2012","FrP"
405,"2011-2012","H"
408,"2011-2012","KrF"
406,"2011-2012","Sp"
407,"2011-2012","SV"
409,"2011-2012","V"
410,"2012-2013","A"
411,"2012-2013","FrP"
412,"2012-2013","H"
415,"2012-2013","KrF"
413,"2012-2013","Sp"
414,"2012-2013","SV"
416,"2012-2013","V"
